	EntryID	Headword	Origin language	Lemma synonym
4873	d2e319782Meyers-1905	Bede [1]	lat	Petitio Precaria
4887	d2e320515Meyers-1905	Bed Pak Dala	russ	Golodnaja Step
4930	d2e325242Meyers-1905	Beichte	althochd	pigihti bigihti
4930	d2e325242Meyers-1905	Beichte	mittelhochd	bîhte
4950	d2e327080Meyers-1905	Beispiel	lat	Exemplum
4953	d2e327361Meyers-1905	Beiwerk	griech	Parergon
4953	d2e327361Meyers-1905	Beiwerk	franz	Accessoires
4954	d2e327453Meyers-1905	Beizeichen	franz	Brisure
4963	d2e327809Meyers-1905	Bekehrung	lat	Conversio
4976	d2e328854Meyers-1905	Belagerungszustand	franz	État de siége
4984	d2e329362Meyers-1905	Beleidigung	lat	injuria
4990	d2e329698Meyers-1905	Beletage	franz	premier étage
5035	d2e333131Meyers-1905	Belletristik	franz	belles lettres
5042	d2e333372Meyers-1905	Bellikös	lat	bellicosus
5074	d2e335281Meyers-1905	Bémol	ital	Bemolle
5093	d2e336009Meyers-1905	Benedeien	lat	benedicĕre
5142	d2e338981Meyers-1905	Benschen	lat	benedicere
5224	d2e346674Meyers-1905	Bergfried	franz	Beffroi
5224	d2e346674Meyers-1905	Bergfried	engl	Keeptower
5231	d2e349114Meyers-1905	Bergsturz	ital	rovina
5241	d2e349754Meyers-1905	Berichterstatter	franz	Rapporteur
5261	d2e352272Meyers-1905	Berlocken	franz	Breloques
5262	d2e352303Meyers-1905	Berme	franz	Berme Lisière
5274	d2e353581Meyers-1905	Bernésk	ital	bernesco
5281	d2e354641Meyers-1905	Bernstein [1]	german	Glesum
5281	d2e354641Meyers-1905	Bernstein [1]	lat	Electrum Succinum
5293	d2e355887Meyers-1905	Bersaglieri	ital	bersaglio
5294	d2e355956Meyers-1905	Bérserker	altnord	berr
5344	d2e360373Meyers-1905	Beschneidung	hebr	Milah
5344	d2e360373Meyers-1905	Beschneidung	lat	Circumcisio
5344	d2e360373Meyers-1905	Beschneidung	griech	Peritome
