	EntryID	Headword	terms	origin
45726	d2e3145541Meyers-1905	Sacco [1]	['saccus']	['v. lat']
45807	d2e3152397Meyers-1905	Safran	"[""za'ferān""]"	['v. arab']
46153	d2e3164339Meyers-1905	Sala [1]	['säljan', 'sellan']	['v. althochd']
46155	d2e3164491Meyers-1905	Salaamkrampf	['salám']	['v. arab']
46168	d2e3165330Meyers-1905	Salāt [2]	['salato']	['v. ital']
46184	d2e3166426Meyers-1905	Salep	['khus yatus salab']	['aus dem arab']
46297	d2e3173017Meyers-1905	Salva ratificatione	[]	['v. rat']
46303	d2e3173279Meyers-1905	Salve [2]	['salve']	['v. lat']
46406	d2e3182314Meyers-1905	Sanatorĭen	['sanare']	['v. lat']
46495	d2e3188187Meyers-1905	Sanguīnisch	['sanguis']	['v. lat']
46522	d2e3189696Meyers-1905	Sankt	['sanctus;']	['v. lat']
46753	d2e3205075Meyers-1905	Satinieren	['satin']	['v. franz']
46873	d2e3213477Meyers-1905	Sax [1]	['sax', 'sahs', 'saxum']	['vom altnord', 'vom lat']
46895	d2e3214788Meyers-1905	Scab	['scabies']	['v. lat']
46907	d2e3215397Meyers-1905	Scammonĭum	['skamma']	['v. griech']
46941	d2e3217018Meyers-1905	Schäbig	['schabe']	['v. althochd']
46949	d2e3217545Meyers-1905	Schachern	['szachar']	['v. hebr']
46989	d2e3222472Meyers-1905	Schal	"['Chalat', ""Chyl'at:""]"	['v. persisch', 'vom Fürsten']
46999	d2e3223769Meyers-1905	Schalmei	['calamus, calamellus']	['v. lat']
47043	d2e3227086Meyers-1905	Scharlatan	['ciarlare']	['v. ital']
47051	d2e3227450Meyers-1905	Schärpe	['scharpe']	['v. althochd']
47052	d2e3227471Meyers-1905	Scharpīe	['carpere']	['v. lat']
47054	d2e3227765Meyers-1905	Scharwerk	['scara, schare, »']	['v. altd']
47062	d2e3228276Meyers-1905	Schatulle	['scatola']	['v. mittellat']
47082	d2e3230506Meyers-1905	Schawell	['scabellum']	['v. lat']
47161	d2e3237362Meyers-1905	Scherwenzeln	['servant']	['v. franz']
47375	d2e3259202Meyers-1905	Schlemm	['slam']	['v. engl']
47402	d2e3263216Meyers-1905	Schlips	['slip']	['v. engl']
47430	d2e3266310Meyers-1905	Schmadden	[]	['v. chald']
47455	d2e3270713Meyers-1905	Schmiere	['schemirah']	['v. neuhebr']
47459	d2e3271413Meyers-1905	Schmöker	['smoken']	['v. holländ']
47461	d2e3271482Meyers-1905	Schmollis	['smullen']	['vom altniederdeutschen']
47478	d2e3272595Meyers-1905	Schnack	[]	['v. niederd']
47500	d2e3276094Meyers-1905	Schneise	['sneet']	['vom niederdeutschen']
47531	d2e3279516Meyers-1905	Schokolade	['choco', 'latl']	['aus dem mexikan']
47546	d2e3281174Meyers-1905	Schönbart	['schëme']	['v. mittelhochd']
47567	d2e3283870Meyers-1905	Schoppen	['scaphium']	['v. lat']
47586	d2e3286693Meyers-1905	Schraffieren	['sgraffiare']	['v. ital']
47628	d2e3292115Meyers-1905	Schubbejack	['schubuják']	['v. russ']
47650	d2e3294105Meyers-1905	Schule	['scholḗ']	['v. griech']
47720	d2e3302563Meyers-1905	Schwadronieren	[]	['v. oberdeutsch']
47820	d2e3315965Meyers-1905	Schwegelpfeife	['suegala']	['v. altd']
47838	d2e3319887Meyers-1905	Schweizerdegen	[]	['v. altdeutschen']
47911	d2e3326728Meyers-1905	Scoglien	['scoglio']	['v. ital']
48154	d2e3343659Meyers-1905	Seidel [1]	['sîdel', 'sitŭla']	['v. mittelhochd', 'v. lat']
48165	d2e3345600Meyers-1905	Seigneur	['senior']	['v. lat']
48198	d2e3348056Meyers-1905	Sekel	[]	[]
48321	d2e3355182Meyers-1905	Senâne	['sen']	['v. pers']
48461	d2e3362038Meyers-1905	Serben [2]	['Srbi']	['v. serb']
48549	d2e3366979Meyers-1905	Servīl	['servus']	['v. lat']
48551	d2e3367107Meyers-1905	Servīten	[]	['vom Monte']
48689	d2e3373908Meyers-1905	Sheriff	['scirgerefa']	['v. angelsächs']
48705	d2e3374468Meyers-1905	Shire	['sciran']	['vom sächs']
48781	d2e3379103Meyers-1905	Siderismus	['sidēros']	['v. griech']
48850	d2e3384814Meyers-1905	Signāl	['signum']	['v. lat']
48869	d2e3385936Meyers-1905	Sikarĭer	['sica']	['v. lat']
48940	d2e3391203Meyers-1905	Simandl	[]	['vom hebr']
49001	d2e3394681Meyers-1905	Sinekūre	['sine cura']	['v. lat']
49055	d2e3397530Meyers-1905	Sir	['Sire']	['v. franz']
49129	d2e3402109Meyers-1905	Skalden	['skáld']	['v. altnord']
49145	d2e3402916Meyers-1905	Skapulīer	['scapula']	['v. lat']
49153	d2e3403322Meyers-1905	Skat	['escarter [écarter]']	['v. altfranz']
49176	d2e3404129Meyers-1905	Ski	['ski']	['vom dänischen']
49190	d2e3404696Meyers-1905	Skizze	['schizzo']	['v. ital']
49209	d2e3405825Meyers-1905	Skolopanen	['Scuole pie']	['vom ital']
49245	d2e3407296Meyers-1905	Sküs	['scusa']	['v. ital']
49431	d2e3417524Meyers-1905	Solarisation	['sol']	['v. lat']
49468	d2e3419430Meyers-1905	Solipsen	['solus', 'ipse']	['v. lat']
49594	d2e3428943Meyers-1905	Sophronisten	['sōphrōn']	['v. griech']
49607	d2e3429740Meyers-1905	Sordarĭen	['sordes']	['v. lat']
49650	d2e3431496Meyers-1905	Sotnĭe	['ssto']	['v. russ']
49722	d2e3433417Meyers-1905	Souverän	['superanus']	['v. mittellat']
49774	d2e3438617Meyers-1905	Spaniōlen	['Spagnuolo', 'Español']	['v. ital']
49799	d2e3444304Meyers-1905	Sparte	['spartire']	['v. ital']
49809	d2e3444681Meyers-1905	Spat [2]	['spasis']	['v. griech']
49859	d2e3447820Meyers-1905	Spektabilität	['spectabilis']	['v. lat']
49920	d2e3452266Meyers-1905	Spezĭestaler	['species']	['vom lat']
50255	d2e3482250Meyers-1905	Stammregister	['juxta']	['vom lat']
50346	d2e3488646Meyers-1905	Statistik	['status', 'stato', 'statista', 'statistica scientia']	['aus dem lat']
50470	d2e3502168Meyers-1905	Stellionāt	['stellio']	['v. lat']
