	EntryID	Headword	order
350	d2e1771484Meyers-1905	Jungermannĭa	akrogynen Jungermanniinen
351	d2e1773462Meyers-1905	Junkaginazeen	Helobien
352	d2e1773485Meyers-1905	Junkazeen	Glumifloren
353	d2e1774831Meyers-1905	Juraformation	Kephalopoden
354	d2e1778739Meyers-1905	Justizstatistik	Rechtspflege
355	d2e1783372Meyers-1905	Käfer	Insekten
356	d2e1785473Meyers-1905	Kagu	Watvögel
357	d2e1785654Meyers-1905	Kahlbäuche	Knochenfische
358	d2e1787628Meyers-1905	Kaiserfisch	Stachelflosser
359	d2e1790118Meyers-1905	Kakteen	Opuntinen
360	d2e1802203Meyers-1905	Kalykanthazeen	Polycarpicae
361	d2e1803542Meyers-1905	Kamēl [1]	Huftiere
362	d2e1803788Meyers-1905	Kamelhalsfliege	Netzflügler
363	d2e1807450Meyers-1905	Kampanulazeen	Kampanulinen
364	d2e1808322Meyers-1905	Kampfläufer	Watvögel
365	d2e1812876Meyers-1905	Kanellazeen	Cistifloren
366	d2e1814011Meyers-1905	Kanker	Gliederspinnen
367	d2e1814200Meyers-1905	Kannazeen	Scitamineen
368	d2e1821844Meyers-1905	Kapparidazeen	Rhöadinen
369	d2e1822538Meyers-1905	Kaprifolĭazeen	Rubiinen
370	d2e1826012Meyers-1905	Karausche	Edelfische
371	d2e1829356Meyers-1905	Karikazeen	Passiflorinen
372	d2e1840981Meyers-1905	Karyokarazeen	Cistifloren
373	d2e1841022Meyers-1905	Karyophyllazeen	Karyophyllinen
374	d2e1841084Meyers-1905	Karyophyllīnen	natürlichen Pflanzensystems
375	d2e1847397Meyers-1905	Kasuarinazeen	Amentazeen
376	d2e1852719Meyers-1905	Katze [1]	Raubtiere
377	d2e1855886Meyers-1905	Kaulbarsch	Stachelflosser
378	d2e1856012Meyers-1905	Kaulkopf	Stachelflosser
379	d2e1860213Meyers-1905	Kegelschnäbler	Sperlingsvögel
380	d2e1877781Meyers-1905	Khevenhüller	kaiserlichen Infanterie
381	d2e1881236Meyers-1905	Kiemenfuß	Blattfüßer
382	d2e1884398Meyers-1905	Killifisch	Bauchflosser
383	d2e1892877Meyers-1905	Kirchenpolitik	weltlichen Regiments
384	d2e1908699Meyers-1905	Kleinzirpen	Halbflügler
385	d2e1910053Meyers-1905	Klethrazeen	Ericinen
386	d2e1910196Meyers-1905	Kletterfisch	Stachelflosser
387	d2e1910286Meyers-1905	Klettervögel	Vögel
388	d2e1912735Meyers-1905	Klippschliefer	Säugetiere
389	d2e1913328Meyers-1905	Kloakentiere	Säugetiere
390	d2e1918239Meyers-1905	Kneorazeen	Terebinthinen
391	d2e1921087Meyers-1905	Knochenhechte	Schmelzfische
392	d2e1924352Meyers-1905	Knurrhahn	Stachelflosser
393	d2e1928271Meyers-1905	Köcherjungfern	Netzflügler
394	d2e1929999Meyers-1905	Kofferfisch	Haftkiefer
395	d2e1935630Meyers-1905	Kokila	Klettervögel
396	d2e1938094Meyers-1905	Kolĭbris	Segler
397	d2e1942347Meyers-1905	Kolokotrōnis	Dinge
398	d2e1942403Meyers-1905	Koloman [2]	Thronfolge
399	d2e1943093Meyers-1905	Kolonialrecht	Amts
400	d2e1946866Meyers-1905	Kombretazeen	Myrtifloren
401	d2e1948429Meyers-1905	Kommelinazeen	Farinosen
