	EntryID	Headword	authors
227	d2e3328632Meyers-1905	Scybalĭum	['Schott. ', 'et  ', 'Endl.', '']
228	d2e3328632Meyers-1905	Scybalĭum	['Schott. ', 'et  ', 'Endl. ', '']
229	d2e3351925Meyers-1905	Selim	['', 'et ', '', '']
230	d2e3355280Meyers-1905	Senāt	['', 'et] ', 'conscripti)', '']
231	d2e3356869Meyers-1905	Senf	['Hook fil. ', 'et  ', 'Thoms.', '']
232	d2e3379872Meyers-1905	Sieb.	['Sieb. ', 'et  ', 'Enée.', 'et Z. ']
233	d2e3396104Meyers-1905	Sinningĭa	['Bent. ', 'et  ', 'Hook. ', '']
234	d2e3400162Meyers-1905	Sivatheriden	['Falc. ', 'et  ', 'Cautl.', '']
235	d2e3400162Meyers-1905	Sivatheriden	['Falc. ', 'et  ', 'Cautl.', 'Lydekker, ']
236	d2e3416372Meyers-1905	Soja	['Sieb. ', 'et  ', 'Zucc. ', '']
237	d2e3432195Meyers-1905	Soult	['', 'et ', '', '']
238	d2e3453705Meyers-1905	Sphaerothallĭa esculenta	['N. ', 'et  ', 'Es.', '']
239	d2e3469524Meyers-1905	Springmäuse	['Hempr. ', 'et  ', 'Ehbg.', '']
240	d2e3565087Meyers-1905	Susa [1]	['', 'et ', '', '']
241	d2e3703843Meyers-1905	Tropaeŏlum	['R. ', 'et  ', 'P.', '']
242	d2e3741504Meyers-1905	Uncinŭla	['Berk  ', 'et  ', 'Curt, ', '']
243	d2e3782384Meyers-1905	Verbēna	['Gill. ', 'et  ', 'Hook. ', '']
244	d2e3902469Meyers-1905	Weste.	['K. ', 'et  ', 'W, ', '']
245	d2e3942475Meyers-1905	Wombat	['Pér. ', 'et  ', 'Les.', '']
246	d2e3970127Meyers-1905	Zecken	['Can. ', 'et  ', 'Franz, ', '']
247	d2e3977150Meyers-1905	Zenon	['', 'et ', '', '']
