	EntryID	headword	compound
1056	d2e126833Herder-1854	Contagion	Contagionisten
1057	d2e126862Herder-1854	Contant, comptant	Contantverkauf
1058	d2e126954Herder-1854	Contenten	Contentenzettel
1059	d2e127079Herder-1854	Continent	Continental
1060	d2e127190Herder-1854	Contor	Contorarbeiten
1062	d2e127190Herder-1854	Contor	Contorist
1063	d2e127190Herder-1854	Contor	Contorwissenschaft
1064	d2e127714Herder-1854	Controle	Controleur
1066	d2e127848Herder-1854	Convent	Conventualen
1067	d2e127848Herder-1854	Convent	Generalconvent
1068	d2e127848Herder-1854	Convent	Provinzialconvent
1069	d2e127872Herder-1854	Convention	Conventionalstrafe
1071	d2e128628Herder-1854	Coquin	Coquinerie
1072	d2e128780Herder-1854	Cordial	Cordialität
1073	d2e129072Herder-1854	Cornard	Cornardise
1074	d2e129223Herder-1854	Cornet [1]	Cornette
1075	d2e129242Herder-1854	Cornet [2]	Cornetto
1076	d2e129318Herder-1854	Cornut	Cornutus
1077	d2e129749Herder-1854	Correction	Correctionell
1079	d2e130589Herder-1854	Costa [1]	Costalgie
1080	d2e130954Herder-1854	Cottage	Cottagesystem
1081	d2e131119Herder-1854	Counsel	Counsellor
1083	d2e131678Herder-1854	Couvert	Couverture
1084	d2e131865Herder-1854	Coxa	Coxalgie
1085	d2e132481Herder-1854	Credulität	Credulitätseid
1087	d2e133026Herder-1854	Crispin [1]	Crispinian
1088	d2e133534Herder-1854	Crudel	Crudelität
1089	d2e133645Herder-1854	Crusta	Crustation
1090	d2e133885Herder-1854	Cuba	Cubanacan
1091	d2e134507Herder-1854	Cumana	Cumanacoa
1092	d2e134743Herder-1854	Cur	Curabel
1094	d2e134759Herder-1854	Cura	Curatel
1095	d2e134759Herder-1854	Cura	Massacurator
1096	d2e134759Herder-1854	Cura	Curator
1097	d2e135046Herder-1854	Curs	Curszettel
1098	d2e135046Herder-1854	Curs	Cursiren
1099	d2e135211Herder-1854	Cusa	Cusanus
1100	d2e135478Herder-1854	Cyan	Eisencyankalium
1101	d2e135478Herder-1854	Cyan	Cyanogen
1103	d2e136077Herder-1854	Czar	Czarewna
